81.26,82.59,79.1
     51.32,     52.71,     46.08
     49.25,     54.85,     47.14
     49.25,     54.85,     47.14
     51.19,     55.33,     48.32
     80.82,     82.53,     78.50
     83.21,     81.45,     80.33
     50.55,     55.94,     58.67
     54.75,     59.99,     62.59
     54.14,     59.40,     62.25
     56.34,     61.22,     62.06
     82.15,     81.71,     80.46
     84.74,     85.49,     81.86
     51.10,     55.81,     62.49
     53.99,     60.51,     62.99
     55.83,     61.86,     65.07
     55.66,     62.89,     62.51
     81.25,     82.90,     81.47
     83.98,     82.42,     81.79
     49.87,     58.71,     69.25
     57.96,     64.64,     65.54
     56.82,     65.83,     64.45
     59.41,     68.05,     65.69
     80.99,     81.73,     81.52
     83.92,     87.51,     83.90
70.1,93.67,85.78
86.19,95.55,87.44
